Player,TEAM,AGE,MIN_2017,MIN_2018,GP,W,L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST_x,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Height_x,Weight_x,College_x,Country_x,Draft Year_x,Draft Round_x,Draft Number_x,Height_y,Weight_y,College_y,Country_y,Draft Year_y,Draft Round_y,Draft Number_y,Box Outs,OFF Box Outs,DEF Box Outs,Team RebOn Box Outs,Player RebOn Box Outs,% Box Outs Off,% Box Outs Def,% Team RebWhen Box Out,% Player RebWhen Box Out,ContestedREB,ContestedREB%,REBChances,REBChance%,DeferredREB Chances,AdjustedREB Chance%,AVG REBDistance,PassesMade,PassesReceived,AST_y,SecondaryAST,PotentialAST,AST PTSCreated,AST PTSCreated,AST PTSCreated,AST PTSCreated,ASTAdj,AST ToPass%,AST ToPass% Adj,ScreenAssists,ScreenAssists PTS,Deflections,OFF Loose BallsRecovered,DEF Loose BallsRecovered,Loose BallsRecovered,% Loose BallsRecovered OFF,% Loose BallsRecovered DEF,ChargesDrawn,Contested2PT Shots,Contested3PT Shots,ContestedShots,FGM_und_5ft,FGA_und_5ft,FG%_und_5ft,FGM_5_9ft,FGA_5_9ft,FG%_5_9ft,FGM_10_14ft,FGA_10_14ft,FG%_10_14ft,FGM_15_19ft,FGA_15_19ft,FG%_15_19ft,FGM_20_24ft,FGA_20_24ft,FG%_20_24ft,FGM_25_29ft,FGA_25_29ft,FG%_25_29ft,OPP_FGM_und_5ft,OPP_FGA_und_5ft,OPP_FG%_und_5ft,OPP_FGM_5_9ft,OPP_FGA_5_9ft,OPP_FG%_5_9ft,OPP_FGM_10_14ft,OPP_FGA_10_14ft,OPP_FG%_10_14ft,OPP_FGM_15_19ft,OPP_FGA_15_19ft,OPP_FG%_15_19ft,OPP_FGM_20_24ft,OPP_FGA_20_24ft,OPP_FG%_20_24ft,OPP_FGM_25_29ft,OPP_FGA_25_29ft,OPP_FG%_25_29ft,DEFRTG,NETRTG,AST%,OREB%,DREB%,REB%,eFG%,TS%,USG%,PACE,PIE_2017,PIE_2018
Deyonta Davis,MEM,21,15.2,13.2,62,16,46,5.8,2.6,4.3,60.8,0.0,0.0,0.0,0.6,0.9,66.7,1.2,2.8,4.0,0.6,0.5,0.2,0.6,2.0,13.7,1,0,-2.6,6-11,237,Michigan State,USA,2016,2,31,6-11,237,Michigan State,USA,2016,2,31,4.5,0.8,3.7,2.1,0.8,18.3,81.7,86.0,32.7,1.6,39.2,7.3,55.1,0.4,58.5,5.1,16.8,11.5,0.6,0.0,1.3,,1.8,,1.8,0.7,3.8,4.3,2.1,4.8,0.7,0.2,0.2,0.3,50.0,50.0,0.00,4.6,1.0,5.6,2.0,2.7,74.1,0.1,0.4,33.3,0.2,0.4,42.3,0.2,0.6,40.0,0.1,0.2,36.4,0.0,0.0,0.0,5.9,9.5,62.0,0.9,2.4,38.8,1.0,2.3,42.2,1.0,2.1,46.3,1.8,4.6,39.6,1.8,5.9,30.3,109.3,-8.3,6.8,7.8,18.2,13.0,60.8,62.1,14.4,99.98,10.8,10.8
Dillon Brooks,MEM,22,28.7,18.3,82,22,60,11.0,4.1,9.4,44.0,1.1,3.2,35.6,1.5,2.0,74.7,0.6,2.5,3.1,1.6,1.5,0.9,0.2,2.8,19.0,0,0,-3.0,6-6,220,Oregon,Canada,2017,2,45,6-6,220,Oregon,Canada,2017,2,45,1.8,0.2,1.6,1.0,0.2,13.3,86.7,86.6,15.5,0.8,26.5,6.6,47.2,0.4,49.8,7.3,26.2,30.0,1.6,0.4,3.7,,3.8,,3.8,2.1,6.3,7.9,0.1,0.4,1.7,0.3,0.5,0.8,38.1,61.9,0.06,3.7,3.9,7.6,1.9,3.0,61.9,0.4,0.9,45.3,0.3,0.9,36.0,0.2,0.9,20.8,0.6,1.5,38.6,0.7,2.0,36.4,9.9,16.0,62.0,1.6,4.2,38.0,1.7,4.4,39.0,1.6,4.1,39.8,3.3,8.0,40.8,3.6,10.8,33.4,107.4,-5.0,9.2,2.1,9.2,5.6,50.1,53.1,18.4,95.90,6.3,3.4
Dion Waiters,MIA,26,30.6,25.9,30,16,14,14.3,5.4,13.7,39.8,1.7,5.7,30.6,1.7,2.3,73.9,0.3,2.3,2.6,3.8,2.3,0.8,0.3,2.0,23.9,0,0,-2.8,6-4,215,Syracuse,USA,2012,1,4,6-4,215,Syracuse,USA,2012,1,4,1.2,0.0,1.2,0.6,0.1,2.7,97.3,81.0,19.0,0.2,9.2,6.4,40.6,0.4,43.7,9.9,36.2,48.8,3.9,0.5,7.6,,10.0,,10.0,4.5,10.7,12.4,0.3,0.6,1.5,0.3,0.5,0.7,36.4,63.6,0.00,4.2,3.0,7.2,2.5,4.4,55.6,0.2,0.6,26.3,0.2,0.5,42.9,0.5,1.6,34.0,1.2,3.0,39.3,0.9,3.5,26.0,10.7,18.2,58.5,2.5,6.3,38.9,1.9,4.9,38.1,1.8,4.9,35.8,3.5,8.2,42.9,3.6,9.2,38.6,106.2,-5.3,21.0,0.9,7.8,4.3,46.1,48.7,25.0,96.49,7.6,8.3
Dirk Nowitzki,DAL,40,24.7,15.6,77,24,53,12.0,4.5,9.8,45.6,1.8,4.4,40.9,1.3,1.4,89.8,0.3,5.4,5.7,1.6,0.7,0.6,0.6,1.9,24.0,5,0,-0.7,7-0,245,None,Germany,1998,1,9,7-0,245,None,Germany,1998,1,9,5.3,0.2,5.1,3.2,1.0,3.9,96.1,92.5,30.0,2.1,36.1,9.4,60.3,0.7,65.1,4.5,31.0,27.8,1.6,0.2,2.4,,4.0,,4.0,1.9,5.0,6.0,2.0,4.7,1.0,0.2,0.2,0.4,41.4,58.6,0.00,5.6,1.6,7.2,0.4,0.5,72.5,0.1,0.2,42.9,0.8,1.7,48.4,1.1,2.2,48.0,1.0,2.2,46.7,1.1,3.0,37.1,8.3,12.5,66.0,1.8,4.5,39.1,2.0,4.3,47.0,2.2,5.1,42.3,3.5,8.4,41.2,3.2,8.6,36.7,107.5,-2.0,9.8,1.2,22.7,11.8,54.7,57.5,19.9,98.80,11.9,7.3
Domantas Sabonis,IND,22,24.5,24.8,74,45,29,11.6,4.6,8.9,51.4,0.2,0.5,35.1,2.3,3.0,75.0,2.2,5.5,7.7,2.0,1.9,0.5,0.4,3.0,25.0,15,0,0.5,6-10,252,Gonzaga,Lithuania,2016,1,11,6-10,252,Gonzaga,Lithuania,2016,1,11,6.9,1.7,5.1,3.7,1.5,25.4,74.6,86.0,33.9,3.4,44.4,14.8,52.3,0.7,55.1,4.7,42.2,31.8,2.0,0.2,3.9,,5.2,,5.2,2.3,4.8,5.5,3.8,8.2,1.0,0.3,0.4,0.7,47.1,52.9,0.03,6.5,1.9,8.3,3.1,4.9,61.9,0.5,1.3,41.5,0.3,0.7,41.2,0.4,1.0,35.6,0.2,0.6,38.3,0.1,0.4,33.3,9.2,14.2,64.5,1.4,3.6,40.7,1.4,3.5,41.6,1.9,4.6,41.8,2.4,6.2,39.2,3.4,10.5,32.8,105.8,1.4,12.7,9.3,22.7,16.0,52.4,56.7,21.4,97.76,12.1,16.2
Donovan Mitchell,UTA,21,33.4,33.7,79,46,33,20.5,7.5,17.2,43.7,2.4,7.0,34.0,3.0,3.8,80.5,0.7,3.1,3.7,3.7,2.7,1.5,0.3,2.7,33.3,0,0,4.5,6-3,215,Louisville,USA,2017,1,13,6-3,215,Louisville,USA,2017,1,13,1.9,0.0,1.9,1.1,0.2,0.0,100,91.9,13.1,0.8,22.6,8.8,42.5,0.5,45.1,9.0,37.2,53.2,3.7,0.5,6.8,,9.4,,9.4,4.4,9.9,11.7,0.1,0.3,2.3,0.4,0.6,1.0,42.5,57.5,0.01,3.7,2.9,6.6,3.2,5.5,58.7,0.6,1.5,40.0,0.5,1.4,38.2,0.6,1.3,42.7,1.0,2.6,37.9,1.6,4.7,33.8,11.1,18.3,60.6,2.6,6.5,40.0,2.2,5.9,36.6,2.6,6.5,40.0,3.7,9.6,38.2,3.6,10.4,35.0,101.5,6.8,18.9,2.0,9.3,5.7,50.6,54.1,28.3,97.65,10.9,11.7
Dorian Finney-Smith,DAL,25,21.3,24.5,21,4,17,5.9,2.2,5.8,38.0,1.0,3.2,29.9,0.5,0.7,73.3,1.0,2.5,3.6,1.2,1.0,0.5,0.2,2.0,13.0,1,0,-1.1,6-8,220,Florida,USA,Undrafted,Undrafted,Undrafted,6-8,220,Florida,USA,Undrafted,Undrafted,Undrafted,1.5,0.1,1.4,0.8,0.2,6.3,93.8,81.0,23.8,1.2,33.3,7.0,51.0,0.7,56.4,5.7,19.6,17.0,1.2,0.0,2.5,,3.2,,3.2,1.3,6.3,6.8,0.2,0.5,0.9,0.2,0.4,0.7,35.7,64.3,0.05,2.6,2.0,4.7,1.0,1.5,64.5,0.1,0.3,28.6,0.0,0.2,0.0,0.1,0.4,37.5,0.6,1.8,35.1,0.4,1.6,23.5,7.5,11.5,64.9,1.0,4.1,24.4,1.7,3.0,54.7,1.4,4.1,33.7,3.0,7.2,40.8,2.2,6.3,34.8,102.7,-2.7,8.6,4.3,12.1,7.9,46.3,48.2,14.4,97.69,5.1,6.9
Doug McDermott,DAL,26,21.8,17.4,81,30,51,7.8,2.9,6.3,46.7,1.1,2.7,42.6,0.8,1.0,79.0,0.5,2.0,2.5,1.0,0.7,0.2,0.2,1.5,12.8,0,0,-0.4,6-8,219,Creighton,USA,2014,1,11,6-8,219,Creighton,USA,2014,1,11,1.6,0.2,1.5,0.9,0.2,10.5,89.5,85.9,21.2,0.8,32.7,5.2,48.3,0.4,52.4,6.5,18.5,18.7,1.0,0.2,1.8,,2.4,,2.4,1.2,5.3,6.4,0.2,0.4,0.5,0.2,0.3,0.5,36.6,63.4,0.00,2.0,2.1,4.1,1.3,2.2,61.5,0.2,0.3,44.4,0.1,0.3,34.6,0.1,0.5,23.3,0.6,1.4,42.5,0.6,1.5,41.1,7.4,12.7,58.4,1.5,4.1,38.0,1.2,3.0,40.1,1.8,4.0,43.6,2.7,6.8,40.0,2.8,8.0,35.0,105.1,-1.2,6.5,2.2,8.7,5.5,55.7,57.9,14.4,99.28,6.9,7.5
Dragan Bender,PHX,20,25.2,18.0,82,21,61,6.5,2.3,5.9,38.6,1.4,3.9,36.6,0.5,0.6,76.5,0.5,3.9,4.4,1.6,1.4,0.3,0.6,2.0,15.5,3,0,-5.7,7-1,225,None,Croatia,2016,1,4,7-1,225,None,Croatia,2016,1,4,4.1,0.3,3.8,2.0,0.5,7.4,92.6,89.0,22.0,1.2,27.4,8.8,50.1,0.7,54.8,5.2,36.8,23.1,1.6,0.1,3.1,,3.7,,3.7,1.7,4.3,4.7,1.6,3.6,0.5,0.2,0.2,0.4,58.8,41.2,0.00,6.8,3.8,10.6,0.7,1.3,54.8,0.1,0.4,25.8,0.0,0.1,20.0,0.0,0.1,11.1,0.7,1.9,35.1,0.8,2.1,37.1,10.1,16.8,60.3,1.7,4.1,40.8,1.7,4.0,43.3,2.2,4.8,45.4,3.1,7.5,41.5,3.4,9.6,35.0,110.9,-10.3,8.9,1.8,14.9,8.2,50.8,52.4,12.5,102.20,5.8,6.6
Draymond Green,GSW,28,32.7,31.3,70,48,22,11.0,4.0,8.8,45.4,1.1,3.7,30.1,1.9,2.5,77.5,1.1,6.6,7.6,7.3,2.9,1.4,1.3,2.6,36.2,23,3,4.4,6-7,230,Michigan State,USA,2012,2,35,6-7,230,Michigan State,USA,2012,2,35,7.1,0.5,6.6,3.5,1.2,7.5,92.5,86.8,30.0,2.6,34.2,13.8,55.2,0.7,58.2,5.2,63.8,50.9,7.3,0.8,12.2,,17.3,,17.3,8.3,11.4,13.0,1.8,4.5,3.1,0.3,0.6,0.9,35.9,64.1,0.07,8.0,4.0,11.9,2.3,3.5,66.0,0.2,0.6,40.5,0.2,0.6,38.6,0.1,0.3,20.8,0.2,0.8,27.3,0.9,2.8,32.0,12.0,19.8,60.7,2.3,6.5,34.9,2.3,6.2,36.5,2.3,5.9,39.0,3.7,9.8,37.3,4.7,12.9,36.4,105.2,6.7,28.6,3.6,18.3,11.7,51.6,55.6,16.8,102.64,11.7,9.8
Dwayne Bacon,CHA,22,13.5,17.6,53,25,28,3.3,1.4,3.6,37.5,0.2,0.8,25.6,0.4,0.5,80.0,0.1,2.3,2.3,0.7,0.4,0.3,0.0,0.9,7.8,0,0,0.2,6-7,221,Florida State,USA,2017,2,40,6-7,221,Florida State,USA,2017,2,40,0.7,0.0,0.6,0.4,0.1,2.9,97.1,92.0,12.0,0.5,22.6,3.9,59.9,0.2,63.6,6.2,9.3,9.5,0.7,0.2,1.5,,1.9,,1.9,1.0,7.7,10.3,0.1,0.1,0.3,0.1,0.2,0.3,29.4,70.6,0.00,1.6,1.7,3.3,0.5,0.8,61.5,0.1,0.3,37.5,0.2,0.6,33.3,0.4,1.1,34.0,0.3,0.8,31.8,0.0,0.3,12.5,5.0,8.2,61.6,1.0,2.5,39.5,1.1,2.5,43.3,1.4,3.3,41.4,1.3,3.8,35.0,2.1,5.7,35.8,104.7,-0.2,7.7,0.5,15.8,8.1,40.4,43.1,13.0,101.49,5.8,6.9
Dwight Buycks,DET,29,14.7,,29,10,19,7.4,2.8,6.8,41.4,0.5,1.6,33.3,1.2,1.4,87.8,0.4,1.0,1.4,2.0,1.3,0.7,0.1,1.3,13.0,0,0,0.1,6-3,190,Marquette,USA,Undrafted,Undrafted,Undrafted,6-3,190,Marquette,USA,Undrafted,Undrafted,Undrafted,0.6,0.0,0.6,0.3,0.0,0.0,100,76.9,0.0,0.2,14.6,4.3,33.1,0.4,36.3,9.3,24.3,32.0,2.0,0.4,4.1,,5.1,,5.1,2.5,8.4,10.4,0.1,0.2,1.5,0.2,0.1,0.3,62.5,37.5,0.07,1.3,1.6,2.8,1.3,2.6,50.7,0.1,0.5,23.1,0.2,0.5,42.9,0.4,1.2,34.4,0.6,1.3,44.1,0.3,0.8,33.3,5.0,8.4,59.4,0.9,2.7,34.7,0.9,2.1,41.4,0.7,2.3,32.8,1.9,5.1,36.8,2.0,5.6,36.2,100.5,0.6,24.0,2.8,6.7,4.7,45.2,49.8,26.6,97.24,8.4,
Dwight Howard,CHA,32,30.4,25.5,81,35,46,16.6,6.2,11.2,55.5,0.0,0.1,14.3,4.1,7.2,57.4,3.1,9.3,12.5,1.3,2.6,0.6,1.6,3.1,37.6,53,0,1.1,6-11,265,None,USA,2004,1,1,6-11,265,None,USA,2004,1,1,7.7,2.9,4.8,4.5,2.6,37.1,62.9,86.7,50.0,5.1,40.5,20.9,59.7,1.0,62.7,3.9,30.7,24.7,1.3,0.1,2.6,,3.3,,3.3,1.5,4.2,4.9,4.2,9.6,1.6,0.3,0.3,0.6,48.0,52.0,0.00,7.2,1.6,8.8,5.0,7.6,66.0,0.7,1.9,35.7,0.2,0.5,35.9,0.3,0.8,34.4,0.1,0.4,26.5,0.0,0.0,33.3,10.5,16.7,62.9,2.2,5.5,39.2,2.6,6.2,42.3,2.9,7.2,40.0,3.4,8.6,40.0,4.7,12.5,37.5,108.2,1.4,6.9,10.1,29.5,19.9,55.6,57.7,23.8,99.41,13.6,11.1
Dwight Powell,DAL,26,21.2,21.6,79,23,56,8.5,3.2,5.4,59.3,0.4,1.1,33.3,1.7,2.3,71.9,1.7,3.9,5.6,1.2,0.7,0.8,0.4,2.4,20.0,5,0,0.1,6-11,240,Stanford,Canada,2014,2,45,6-11,240,Stanford,Canada,2014,2,45,4.6,1.0,3.6,2.2,0.8,21.5,78.5,85.9,31.1,2.1,36.7,11.0,50.9,0.7,54.3,5.7,25.6,18.4,1.2,0.2,2.4,,2.9,,2.9,1.4,4.5,5.3,2.1,5.0,1.7,0.4,0.5,0.9,49.3,50.7,0.09,5.5,3.1,8.6,2.6,3.5,73.6,0.1,0.3,26.9,0.1,0.1,40.0,0.1,0.2,35.3,0.3,0.7,39.2,0.2,0.6,29.8,7.1,10.7,66.5,1.3,3.5,37.9,1.4,3.2,42.3,1.5,3.9,37.6,2.9,7.2,40.5,2.7,7.8,34.8,104.5,0.9,8.5,8.0,19.0,13.4,62.6,65.6,15.1,97.97,11.9,12.3
Dwyane Wade,MIA,36,22.9,26.2,67,37,30,11.4,4.5,10.2,43.8,0.5,1.7,28.8,2.0,2.8,71.4,0.7,3.0,3.8,3.4,2.1,0.9,0.7,1.9,23.8,3,0,0.4,6-4,220,Marquette,USA,2003,1,5,6-4,220,Marquette,USA,2003,1,5,1.4,0.1,1.3,0.8,0.1,9.3,90.7,75.0,14.7,1.1,29.4,7.9,47.5,0.6,51.7,6.9,32.5,36.6,3.4,0.3,6.9,,8.5,,8.5,3.9,10.5,12.1,0.3,0.6,1.9,0.4,0.5,0.9,48.3,51.7,0.01,2.7,2.3,5.0,2.3,3.6,63.6,0.4,1.1,38.4,0.4,1.7,26.1,0.7,1.9,40.0,0.2,1.0,24.2,0.3,1.0,35.4,8.7,14.0,62.3,1.3,3.4,39.0,1.2,3.2,38.4,1.5,3.9,38.2,2.6,6.5,39.3,3.2,9.9,32.7,105.1,1.3,24.5,3.2,12.4,7.9,46.2,50.0,25.1,100.71,10.4,11.5
E'Twaun Moore,NOP,29,31.5,27.6,82,48,34,12.5,5.2,10.1,50.8,1.6,3.7,42.5,0.6,0.8,70.6,0.7,2.2,2.9,2.3,1.2,1.0,0.1,2.2,21.5,0,0,1.8,6-4,191,Purdue,USA,2011,2,55,6-4,191,Purdue,USA,2011,2,55,1.5,0.0,1.5,0.8,0.1,1.6,98.4,92.1,15.8,0.7,24.8,6.3,46.2,0.5,50.0,9.8,26.2,29.7,2.3,0.3,4.2,,5.4,,5.4,2.7,8.7,10.4,0.2,0.4,1.7,0.6,0.8,1.3,42.2,57.8,0.00,4.0,2.4,6.4,1.8,2.9,63.4,1.0,1.8,56.8,0.4,0.8,42.6,0.2,0.6,37.0,1.2,2.5,47.8,0.5,1.5,35.7,12.0,20.0,60.0,2.4,6.0,40.2,2.2,5.4,40.7,2.5,6.4,39.4,3.4,9.3,36.1,4.8,12.6,37.7,106.1,2.6,9.9,2.3,6.5,4.5,58.5,59.3,15.8,102.57,7.3,6.7
Ed Davis,POR,29,18.9,17.9,78,48,30,5.3,2.2,3.7,58.2,0.0,0.0,0.0,0.9,1.4,66.7,2.3,5.0,7.4,0.5,0.8,0.4,0.7,2.4,17.3,6,0,1.2,6-10,245,North Carolina,USA,2010,1,13,6-10,245,North Carolina,USA,2010,1,13,9.0,2.5,6.5,4.6,1.8,28.0,71.9,85.0,32.9,3.1,42.4,14.1,52.1,0.8,55.4,4.4,25.0,11.1,0.5,0.0,1.5,,1.4,,1.4,0.6,2.0,2.4,3.6,8.2,0.8,0.2,0.4,0.6,36.2,63.8,0.01,6.0,0.9,6.9,1.9,3.1,62.4,0.2,0.5,38.5,0.1,0.1,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.2,53.7,1.4,3.1,44.2,1.0,2.8,37.2,1.6,3.9,39.9,2.2,5.8,37.7,2.2,5.7,37.7,103.9,4.1,3.9,12.1,25.4,18.8,58.2,60.7,12.0,96.37,11.5,13.9
Edmond Sumner,IND,22,2.2,9.1,1,0,1,2.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.2,0,0,-6.0,6-5,188,Xavier,USA,2017,2,52,6-5,188,Xavier,USA,2017,2,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100,0.0,100,6.5,2.0,3.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,100,160.0,-120.0,0.0,0.0,50.0,20.0,100,100,20.0,110.77,23.5,2.8
Ekpe Udoh,UTA,31,12.9,6.3,63,36,27,2.6,1.0,1.9,50.0,0.0,0.0,0.0,0.7,0.9,75.0,1.1,1.3,2.4,0.8,0.3,0.7,1.2,1.7,11.9,0,0,1.0,6-10,245,Baylor,USA,2010,1,6,6-10,245,Baylor,USA,2010,1,6,3.7,0.5,3.1,1.9,0.4,14.3,85.7,88.7,17.3,1.1,45.3,5.4,43.7,0.4,47.5,6.4,15.0,10.4,0.8,0.0,1.6,,2.1,,2.1,0.9,5.6,5.8,2.4,5.6,1.1,0.2,0.3,0.5,41.4,58.6,0.00,5.3,1.2,6.4,0.7,1.1,65.3,0.2,0.5,33.3,0.0,0.2,23.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,7.7,59.1,0.8,2.3,35.7,0.7,1.6,42.3,0.8,2.0,39.8,1.6,3.8,42.9,1.2,4.0,30.8,100.3,3.3,9.3,8.6,10.5,9.5,50.0,56.0,8.9,99.21,7.2,12.5
Elfrid Payton,PHX,24,28.7,29.8,63,13,50,12.7,5.2,10.6,49.3,0.5,1.5,32.6,1.7,2.7,64.9,1.0,3.3,4.3,6.2,2.7,1.3,0.3,2.3,29.6,8,2,-7.3,6-4,185,Louisiana-Lafayette,USA,2014,1,10,6-4,185,Louisiana-Lafayette,USA,2014,1,10,0.9,0.1,0.9,0.5,0.2,8.3,91.7,85.3,29.4,0.9,20.4,9.0,48.1,0.4,50.2,8.7,48.6,56.6,6.2,0.6,12.9,,15.3,,15.3,7.1,12.8,14.7,0.5,1.1,2.3,0.7,0.9,1.6,41.8,58.2,0.00,3.3,2.8,6.1,3.4,5.5,62.5,0.6,1.6,36.3,0.4,0.9,39.0,0.3,0.9,33.9,0.3,0.9,34.5,0.3,0.8,31.4,12.9,20.4,63.0,2.0,5.5,36.4,2.1,4.6,46.4,2.4,5.4,44.0,3.8,8.4,45.3,3.5,9.4,37.8,115.6,-11.7,32.8,3.3,11.7,7.4,51.6,53.8,21.1,101.47,10.8,9.8
Emeka Okafor,NOP,35,13.6,,26,16,10,4.4,1.8,3.7,50.5,0.0,0.0,0.0,0.7,0.8,81.8,1.8,2.8,4.6,0.3,0.5,0.3,1.0,1.2,13.7,0,0,0.0,6-10,255,Connecticut,USA,2004,1,2,6-10,255,Connecticut,USA,2004,1,2,4.5,0.5,4.0,2.2,0.7,11.1,88.9,87.7,29.2,1.8,40.0,9.2,50.2,0.7,54.1,5.5,10.1,6.8,0.3,0.0,0.6,,1.0,,1.0,0.4,3.1,3.8,1.1,2.5,0.7,0.1,0.2,0.4,40.0,60.0,0.04,5.0,0.8,5.9,1.3,2.2,56.9,0.2,0.5,33.3,0.2,0.5,38.5,0.2,0.5,50.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,10.4,53.3,1.4,3.5,40.2,0.8,2.2,37.9,1.2,3.2,37.3,1.2,3.1,37.0,2.0,5.3,38.0,102.7,0.3,2.8,12.0,17.5,14.8,50.5,54.5,13.3,105.18,9.6,
Emmanuel Mudiay,NYK,22,19.4,27.2,64,29,35,8.6,3.2,8.2,38.8,0.7,2.3,31.8,1.5,2.0,76.0,0.4,2.0,2.4,3.2,1.8,0.6,0.2,1.3,17.0,1,0,-4.2,6-5,200,None,DRC,2015,1,7,6-5,200,None,DRC,2015,1,7,0.5,0.0,0.4,0.3,0.1,6.9,93.1,95.0,40.0,0.5,21.7,5.2,46.1,0.3,48.7,8.4,33.0,40.4,3.2,0.3,5.9,,7.8,,7.8,3.6,9.7,11.0,0.2,0.4,1.1,0.3,0.3,0.7,48.8,51.2,0.02,1.5,1.9,3.4,1.4,2.8,50.6,0.2,0.8,28.8,0.3,1.0,36.1,0.4,1.2,34.7,0.4,1.1,40.6,0.3,1.3,25.9,7.9,12.9,61.1,1.3,3.4,36.9,1.1,2.7,40.0,1.4,3.2,43.8,2.8,6.6,42.4,2.6,6.7,38.8,111.5,-9.5,25.4,1.9,9.9,5.8,43.3,47.4,23.1,101.46,8.0,9.8
Enes Kanter,NYK,26,25.8,24.5,71,27,44,14.1,5.9,10.0,59.2,0.0,0.0,0.0,2.2,2.6,84.8,3.8,7.1,11.0,1.5,1.7,0.5,0.5,2.6,30.9,39,0,-2.6,6-11,245,None,Turkey,2011,1,3,6-11,245,None,Turkey,2011,1,3,10.2,4.5,5.7,5.4,2.8,44.5,55.5,84.0,43.2,5.0,44.9,20.5,54.1,1.1,57.2,4.2,37.8,26.7,1.5,0.2,2.8,,3.5,,3.5,1.7,3.9,4.5,2.9,6.1,1.0,0.4,0.3,0.7,52.9,47.1,0.00,7.1,1.6,8.7,4.5,6.9,65.0,0.9,1.9,48.5,0.3,0.6,45.7,0.3,0.6,45.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,16.3,61.0,1.8,4.3,41.4,1.4,3.4,42.3,1.8,4.3,42.2,3.4,8.2,41.3,3.7,9.9,37.2,111.5,-4.9,9.1,14.6,27.9,21.2,59.2,63.0,21.2,97.96,16.1,15.2
Eric Bledsoe,MIL,28,31.4,29.1,74,40,34,17.7,6.3,13.4,47.3,1.7,4.9,34.7,3.4,4.3,79.5,0.7,3.1,3.8,5.0,2.9,2.0,0.6,2.5,34.7,3,1,1.6,6-1,205,Kentucky,USA,2010,1,18,6-1,205,Kentucky,USA,2010,1,18,0.8,0.0,0.8,0.5,0.1,5.1,94.9,82.5,10.0,0.9,23.2,8.6,44.9,0.6,48.1,8.9,51.2,59.2,5.0,0.7,9.4,,11.9,,11.9,6.0,9.8,11.8,0.5,1.1,3.4,0.5,0.9,1.4,35.5,63.6,0.04,4.0,3.0,7.0,3.0,4.5,65.2,0.4,1.0,41.3,0.5,1.1,44.3,0.6,1.4,42.5,0.6,1.8,35.1,1.2,3.4,36.4,12.9,21.4,60.3,1.5,4.5,34.4,1.8,4.7,37.9,1.9,5.0,38.0,2.6,6.8,38.7,4.6,12.4,37.3,107.9,2.7,24.6,2.3,10.0,6.3,53.6,58.2,25.4,98.57,12.5,12.5
Eric Gordon,HOU,29,31.2,31.7,69,55,14,18.0,6.0,14.1,42.8,3.2,8.8,35.9,2.8,3.5,80.9,0.4,2.1,2.5,2.2,1.9,0.6,0.4,1.7,25.5,0,0,8.5,6-4,215,Indiana,USA,2008,1,7,6-4,215,Indiana,USA,2008,1,7,1.4,0.0,1.4,0.8,0.1,1.1,98.9,83.1,12.3,0.4,15.3,5.2,47.0,0.3,50.1,10.0,21.5,33.1,2.2,0.2,4.1,,5.8,,5.8,2.6,10.4,11.9,0.3,0.7,1.4,0.3,0.6,0.9,34.4,65.6,0.03,2.4,2.4,4.8,2.4,3.9,62.8,0.2,0.7,32.7,0.1,0.3,29.2,0.0,0.2,27.3,0.8,2.1,39.4,2.3,6.5,35.0,12.8,20.4,62.9,2.3,5.6,40.9,1.8,4.9,36.4,1.7,4.5,37.9,3.2,8.8,35.7,3.8,11.6,32.6,103.5,13.0,11.3,1.1,6.5,3.9,54.0,57.8,23.8,99.89,9.0,7.0
