Player,TEAM,AGE,MIN_2017,MIN_2018,GP,W,L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST_x,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Height_x,Weight_x,College_x,Country_x,Draft Year_x,Draft Round_x,Draft Number_x,Height_y,Weight_y,College_y,Country_y,Draft Year_y,Draft Round_y,Draft Number_y,Box Outs,OFF Box Outs,DEF Box Outs,Team RebOn Box Outs,Player RebOn Box Outs,% Box Outs Off,% Box Outs Def,% Team RebWhen Box Out,% Player RebWhen Box Out,ContestedREB,ContestedREB%,REBChances,REBChance%,DeferredREB Chances,AdjustedREB Chance%,AVG REBDistance,PassesMade,PassesReceived,AST_y,SecondaryAST,PotentialAST,AST PTSCreated,AST PTSCreated,AST PTSCreated,AST PTSCreated,ASTAdj,AST ToPass%,AST ToPass% Adj,ScreenAssists,ScreenAssists PTS,Deflections,OFF Loose BallsRecovered,DEF Loose BallsRecovered,Loose BallsRecovered,% Loose BallsRecovered OFF,% Loose BallsRecovered DEF,ChargesDrawn,Contested2PT Shots,Contested3PT Shots,ContestedShots,FGM_und_5ft,FGA_und_5ft,FG%_und_5ft,FGM_5_9ft,FGA_5_9ft,FG%_5_9ft,FGM_10_14ft,FGA_10_14ft,FG%_10_14ft,FGM_15_19ft,FGA_15_19ft,FG%_15_19ft,FGM_20_24ft,FGA_20_24ft,FG%_20_24ft,FGM_25_29ft,FGA_25_29ft,FG%_25_29ft,OPP_FGM_und_5ft,OPP_FGA_und_5ft,OPP_FG%_und_5ft,OPP_FGM_5_9ft,OPP_FGA_5_9ft,OPP_FG%_5_9ft,OPP_FGM_10_14ft,OPP_FGA_10_14ft,OPP_FG%_10_14ft,OPP_FGM_15_19ft,OPP_FGA_15_19ft,OPP_FG%_15_19ft,OPP_FGM_20_24ft,OPP_FGA_20_24ft,OPP_FG%_20_24ft,OPP_FGM_25_29ft,OPP_FGA_25_29ft,OPP_FG%_25_29ft,DEFRTG,NETRTG,AST%,OREB%,DREB%,REB%,eFG%,TS%,USG%,PACE,PIE_2017,PIE_2018
Alec Burks,UTA,26,16.5,21.5,64,37,27,7.7,2.7,6.5,41.1,0.7,2.2,33.1,1.7,1.9,86.3,0.3,2.7,3.0,1.0,0.9,0.6,0.1,1.2,14.1,0,0,-0.2,6-6,214,Colorado,USA,2011,1,12,6-6,214,Colorado,USA,2011,1,12,0.5,0.0,0.4,0.2,0.0,3.4,96.6,88.2,11.8,0.7,24.0,5.6,53.3,0.4,57.5,6.5,16.8,19.8,1.0,0.3,2.2,,2.7,,2.7,1.4,6.2,8.1,0.1,0.1,0.9,0.1,0.4,0.6,22.2,77.8,0.02,1.6,1.4,3.0,1.2,2.1,56.8,0.2,0.8,29.2,0.2,0.7,34.1,0.2,0.6,38.9,0.4,1.2,37.8,0.4,1.2,30.3,5.8,9.5,60.7,1.2,3.2,36.5,1.1,2.4,44.5,1.1,2.7,41.7,2.1,5.2,39.9,1.9,5.3,35.7,105.3,-1.0,10.4,1.9,16.8,9.4,46.7,52.7,22.1,98.03,10.1,9.1
Alec Peters,PHX,23,11.2,,20,2,18,4.1,1.4,3.7,37.8,0.9,2.9,31.0,0.4,0.5,80.0,0.4,1.5,1.9,0.6,0.2,0.1,0.1,0.7,7.6,0,0,1.8,6-9,235,Valparaiso,USA,2017,2,54,6-9,235,Valparaiso,USA,2017,2,54,2.0,0.2,1.9,1.3,0.3,9.8,90.2,92.6,18.5,0.7,37.8,3.0,62.7,0.2,67.3,5.6,11.9,10.0,0.6,0.1,0.8,,1.5,,1.5,0.7,5.1,5.5,0.3,0.8,0.5,0.1,0.2,0.3,33.3,66.7,0.10,1.6,1.4,3.0,0.4,0.6,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,50.0,0.4,1.3,28.0,0.6,1.6,34.4,3.9,6.9,55.8,0.9,1.6,54.8,0.8,1.7,44.8,0.7,2.1,35.0,1.2,3.5,32.8,1.7,4.7,36.2,101.7,7.3,7.3,3.2,12.0,7.6,50.0,52.3,15.1,102.68,7.1,
Alex Abrines,OKC,24,15.1,19.0,75,42,33,4.7,1.5,3.9,39.5,1.1,2.9,38.0,0.5,0.6,84.8,0.3,1.2,1.5,0.4,0.3,0.5,0.1,1.7,8.6,0,0,0.6,6-6,190,None,Spain,2013,2,32,6-6,190,None,Spain,2013,2,32,0.9,0.1,0.8,0.5,0.1,7.5,92.5,82.2,11.1,0.4,27.0,3.3,46.4,0.3,50.5,9.4,9.9,10.1,0.4,0.1,1.0,,0.9,,0.9,0.5,3.6,4.5,0.1,0.1,0.9,0.1,0.4,0.5,28.2,71.8,0.03,2.0,1.9,4.0,0.3,0.6,54.8,0.0,0.1,28.6,0.1,0.1,62.5,0.0,0.1,0.0,0.5,1.5,36.8,0.6,1.6,39.3,5.5,9.2,60.2,1.1,3.1,34.6,1.1,2.2,48.4,0.9,2.1,43.6,1.9,5.5,35.3,1.8,4.8,37.7,106.5,1.2,3.6,2.1,7.9,4.9,54.0,56.7,12.6,97.91,4.8,4.1
Alex Caruso,LAL,24,15.2,21.2,37,16,21,3.6,1.4,3.1,43.1,0.4,1.2,30.2,0.6,0.8,70.0,0.4,1.4,1.8,2.0,1.1,0.6,0.3,1.4,10.3,0,0,-0.1,6-5,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,6-5,186,Texas A&M,USA,Undrafted,Undrafted,Undrafted,0.8,0.0,0.8,0.4,0.0,3.2,96.8,83.3,0.0,0.4,21.5,3.4,52.4,0.3,57.5,10.4,24.1,23.9,2.0,0.3,4.4,,4.9,,4.9,2.4,8.4,10.1,0.1,0.2,1.2,0.2,0.3,0.6,40.9,59.1,0.08,2.1,1.6,3.7,0.8,1.1,70.7,0.1,0.3,30.0,0.1,0.4,23.1,0.1,0.2,25.0,0.1,0.4,28.6,0.3,0.8,32.1,6.5,10.1,64.4,1.0,2.5,39.1,1.1,2.2,48.7,0.8,2.6,30.0,1.4,4.2,34.0,1.9,5.9,31.9,100.8,-0.3,18.5,2.6,8.6,5.6,48.7,51.9,12.8,102.64,6.2,9.6
Alex Len,PHX,25,20.2,20.1,69,20,49,8.5,3.1,5.5,56.6,0.0,0.0,33.3,2.3,3.3,68.4,2.5,5.0,7.5,1.2,1.1,0.4,0.9,2.3,22.0,12,0,-3.7,7-1,250,Maryland,Ukraine,2013,1,5,7-1,250,Maryland,Ukraine,2013,1,5,7.6,1.6,6.0,3.7,1.6,20.4,79.2,87.3,37.8,3.5,46.3,14.0,53.7,0.6,55.9,4.4,23.6,17.2,1.2,0.1,2.6,,3.1,,3.1,1.3,5.0,5.7,3.8,8.5,0.8,0.3,0.2,0.5,54.3,45.7,0.00,8.1,1.1,9.3,2.8,4.7,60.4,0.1,0.3,36.8,0.1,0.3,50.0,0.0,0.2,18.2,0.0,0.1,0.0,0.0,0.0,50.0,7.7,12.8,60.1,1.4,3.3,41.0,1.4,3.4,41.6,1.8,4.3,41.8,2.6,6.4,41.1,2.9,7.7,37.1,110.4,-8.6,9.3,11.6,22.8,17.2,56.7,61.2,16.4,103.10,12.9,10.0
Alex Poythress,IND,24,4.2,14.5,25,10,15,1.0,0.4,1.0,42.3,0.2,0.4,36.4,0.0,0.0,0.0,0.3,0.4,0.7,0.1,0.1,0.1,0.0,0.6,2.4,0,0,-0.8,6-9,235,Kentucky,USA,Undrafted,Undrafted,Undrafted,6-9,235,Kentucky,USA,Undrafted,Undrafted,Undrafted,0.5,0.2,0.3,0.3,0.2,38.5,61.5,88.9,55.6,0.3,47.1,1.5,45.9,0.0,47.2,7.2,3.8,2.4,0.1,0.0,0.2,,0.2,,0.2,0.1,2.1,3.2,0.2,0.4,0.2,0.0,0.1,0.1,33.3,66.7,0.00,0.6,0.4,1.0,0.3,0.5,58.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.2,50.0,0.1,0.3,28.6,1.8,2.6,69.8,0.5,1.1,50.0,0.5,0.7,75.0,0.3,0.9,29.4,0.5,1.5,33.3,0.5,1.6,27.8,115.8,-13.0,2.6,6.1,10.2,8.0,50.0,50.0,11.2,97.73,3.2,6.9
Alfonzo McKinnie,TOR,25,3.8,13.9,14,13,1,1.5,0.6,1.1,53.3,0.2,0.6,33.3,0.1,0.2,66.7,0.1,0.4,0.5,0.1,0.2,0.1,0.1,0.6,2.4,0,0,-1.0,6-8,215,Wisconsin-Green Bay,USA,Undrafted,Undrafted,Undrafted,6-8,215,Wisconsin-Green Bay,USA,Undrafted,Undrafted,Undrafted,0.5,0.1,0.4,0.1,0.0,14.3,85.7,100,0.0,0.3,57.1,0.9,58.3,0.2,77.8,3.2,3.1,3.0,0.1,0.1,0.2,,0.2,,0.2,0.1,2.3,4.5,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.00,0.5,0.3,0.8,0.1,0.1,100,0.2,0.3,66.7,0.0,0.0,0.0,0.2,0.2,100,0.2,0.5,40.0,0.1,0.4,25.0,1.4,2.5,57.1,0.6,2.1,28.6,0.3,0.3,100,0.5,1.0,50.0,0.7,1.9,36.8,0.6,1.7,35.3,114.0,-12.3,2.7,2.2,9.8,6.6,63.3,64.3,15.8,102.40,5.2,6.5
Allen Crabbe,BKN,26,29.3,26.4,75,25,50,13.2,4.5,11.0,40.7,2.7,7.1,37.8,1.5,1.8,85.2,0.4,3.9,4.3,1.6,1.0,0.6,0.5,2.2,23.0,0,0,-1.0,6-6,215,California,USA,2013,2,31,6-6,215,California,USA,2013,2,31,0.5,0.0,0.5,0.4,0.1,0.0,100,96.6,31.0,0.8,19.0,7.9,54.4,0.4,57.2,7.3,29.8,31.3,1.6,0.4,3.4,,3.9,,3.9,2.0,5.3,6.9,0.2,0.6,1.5,0.3,0.6,0.9,33.8,66.2,0.01,3.5,2.0,5.5,0.9,1.2,69.9,0.3,0.7,40.0,0.2,0.6,33.3,0.3,0.7,42.3,1.1,3.2,35.4,1.7,4.4,38.1,10.7,18.1,59.3,2.7,6.7,40.6,2.7,6.3,43.3,3.3,6.9,47.2,3.0,8.0,38.1,2.8,7.7,36.1,108.8,-1.9,8.2,1.2,13.0,7.0,52.9,55.8,18.3,100.98,8.4,5.5
Amir Johnson,PHI,31,15.8,10.4,74,47,27,4.6,1.9,3.5,53.8,0.1,0.4,31.3,0.7,1.1,61.2,1.7,2.8,4.5,1.6,0.7,0.6,0.6,2.6,15.2,1,0,0.1,6-9,240,None,USA,2005,2,56,6-9,240,None,USA,2005,2,56,5.5,1.1,4.3,3.0,1.0,20.8,79.2,87.8,29.4,2.3,51.2,9.2,48.3,0.8,53.0,5.5,21.5,17.4,1.6,0.1,2.7,,3.5,,3.5,1.7,7.4,7.9,2.5,5.5,1.0,0.4,0.3,0.7,60.0,40.0,0.08,4.7,0.8,5.5,1.3,2.1,64.1,0.4,0.8,46.6,0.0,0.1,20.0,0.0,0.1,50.0,0.1,0.2,33.3,0.1,0.3,31.6,5.5,9.0,60.7,1.2,3.3,37.4,1.1,2.6,41.1,1.2,2.9,39.7,1.5,4.0,36.5,2.1,6.2,34.4,101.0,1.5,13.7,10.2,16.9,13.6,55.8,57.5,12.5,103.67,8.8,8.0
Andre Drummond,DET,24,33.7,33.5,78,37,41,15.0,6.0,11.3,52.9,0.0,0.1,0.0,3.1,5.1,60.5,5.1,10.9,16.0,3.0,2.6,1.5,1.6,3.2,45.5,62,0,-0.7,6-11,279,Connecticut,USA,2012,1,9,6-11,279,Connecticut,USA,2012,1,9,9.2,4.0,5.1,5.0,3.3,43.8,56.1,85.3,56.8,7.4,46.0,25.7,62.3,1.0,64.9,4.0,34.9,34.5,3.0,0.1,5.6,,7.0,,7.0,3.2,8.7,9.3,4.7,10.2,3.2,0.6,0.6,1.2,50.0,50.0,0.01,9.2,2.0,11.2,5.3,8.6,60.9,0.5,1.9,28.8,0.2,0.6,29.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,19.3,64.7,2.4,6.5,36.3,2.2,5.2,42.1,2.5,5.9,42.8,3.8,9.7,38.7,4.7,12.7,36.8,108.0,-1.0,14.0,14.5,32.9,23.4,52.9,55.5,20.7,97.79,15.6,15.9
