Player,TEAM,College,Country,PIE_2017,PIE_2018,AGE,MIN_2017,GP,W,L,PTS,FGM,3P%,FTM,FT%,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Height,Weight,Draft_Number,%_Box_Outs_Off,%_Box_Outs_Def,%_Team_RebWhen_Box_Out,%_Player_RebWhen_Box_Out,ContestedREB%,DeferredREB_Chances,AdjustedREB_Chance%,AVG_REBDistance,PassesMade,PassesReceived,SecondaryAST,ASTAdj,AST_ToPass%_Adj,ScreenAssists_PTS,Deflections,%_Loose_BallsRecovered_OFF,%_Loose_BallsRecovered_DEF,ChargesDrawn,Contested2PT_Shots,Contested3PT_Shots,FGM_und_5ft,FG%_und_5ft,FGM_5_9ft,FG%_5_9ft,FGM_10_14ft,FG%_10_14ft,FGM_15_19ft,FG%_15_19ft,OPP_FGM_und_5ft,OPP_FG%_und_5ft,OPP_FGM_5_9ft,OPP_FG%_5_9ft,OPP_FGM_10_14ft,OPP_FG%_10_14ft,OPP_FGM_15_19ft,OPP_FG%_15_19ft,OPP_FGM_20_24ft,OPP_FG%_20_24ft,OPP_FGM_25_29ft,OPP_FG%_25_29ft,DEFRTG,NETRTG,AST%,OREB%,DREB%,eFG%,TS%,USG%,PACE,cluster_five,cluster_ten,cluster_fourteen
Alfonzo McKinnie,TOR,Wisconsin-Green Bay,USA,5.2,6.5,25,3.8,14,13,1,1.5,0.6,33.3,0.1,66.7,0.2,0.1,0.1,0.6,2.4,0,0,-1.0,80.0,215,61,14.3,85.7,100.0,0.0,57.1,0.2,77.8,3.2,3.1,3.0,0.1,0.1,4.5,0.0,0.1,0.0,0.0,0.0,0.5,0.3,0.1,100.0,0.2,66.7,0.0,0.0,0.2,100.0,1.4,57.1,0.6,28.6,0.3,100.0,0.5,50.0,0.7,36.8,0.6,35.3,114.0,-12.3,2.7,2.2,9.8,63.3,64.3,15.8,102.4,0,0,11
Allen Crabbe,BKN,California,USA,8.4,5.5,26,29.3,75,25,50,13.2,4.5,37.8,1.5,85.2,1.0,0.6,0.5,2.2,23.0,0,0,-1.0,78.0,215,31,0.0,100.0,96.6,31.0,19.0,0.4,57.2,7.3,29.8,31.3,0.4,2.0,6.9,0.6,1.5,33.8,66.2,0.01,3.5,2.0,0.9,69.9,0.3,40.0,0.2,33.3,0.3,42.3,10.7,59.3,2.7,40.6,2.7,43.3,3.3,47.2,3.0,38.1,2.8,36.1,108.8,-1.9,8.2,1.2,13.0,52.9,55.8,18.3,100.98,3,4,1
Amir Johnson,PHI,None,USA,8.8,8.0,31,15.8,74,47,27,4.6,1.9,31.3,0.7,61.2,0.7,0.6,0.6,2.6,15.2,1,0,0.1,81.0,240,56,20.8,79.2,87.8,29.4,51.2,0.8,53.0,5.5,21.5,17.4,0.1,1.7,7.9,5.5,1.0,60.0,40.0,0.08,4.7,0.8,1.3,64.1,0.4,46.6,0.0,20.0,0.0,50.0,5.5,60.7,1.2,37.4,1.1,41.1,1.2,39.7,1.5,36.5,2.1,34.4,101.0,1.5,13.7,10.2,16.9,55.8,57.5,12.5,103.67,3,8,2
Andre Drummond,DET,Connecticut,USA,15.6,15.9,24,33.7,78,37,41,15.0,6.0,0.0,3.1,60.5,2.6,1.5,1.6,3.2,45.5,62,0,-0.7,83.0,279,9,43.8,56.1,85.3,56.8,46.0,1.0,64.9,4.0,34.9,34.5,0.1,3.2,9.3,10.2,3.2,50.0,50.0,0.01,9.2,2.0,5.3,60.9,0.5,28.8,0.2,29.8,0.0,0.0,12.5,64.7,2.4,36.3,2.2,42.1,2.5,42.8,3.8,38.7,4.7,36.8,108.0,-1.0,14.0,14.5,32.9,52.9,55.5,20.7,97.79,3,1,12
Andre Iguodala,GSW,Arizona,USA,8.1,9.0,34,25.4,64,46,18,6.0,2.3,28.2,0.9,63.2,1.0,0.8,0.6,1.5,18.8,0,0,4.3,78.0,215,9,8.3,91.7,88.1,18.3,23.6,0.6,54.5,8.2,36.0,32.1,0.5,4.0,11.0,1.7,1.4,40.8,59.2,0.02,2.7,2.3,1.3,74.6,0.1,22.7,0.1,40.0,0.2,35.0,9.1,60.1,2.0,38.4,1.9,40.6,1.7,34.5,2.1,32.6,3.3,33.5,101.3,7.9,16.9,3.3,10.9,51.4,53.6,11.2,101.15,3,4,0
Andrew Bogut,LAL,Utah,Australia,8.1,9.2,33,9.0,24,7,17,1.5,0.7,0.0,0.1,100.0,0.8,0.2,0.5,1.7,7.7,0,0,-1.2,84.0,260,1,19.7,80.3,88.9,42.2,46.2,0.3,66.1,5.2,13.3,7.5,0.0,0.7,5.0,2.8,0.3,75.0,25.0,0.08,2.5,0.5,0.6,77.8,0.1,50.0,0.0,0.0,0.0,100.0,3.3,60.5,0.4,32.1,0.9,51.4,0.9,50.0,0.7,23.5,1.4,33.0,100.2,-5.1,9.9,10.4,22.3,68.0,69.6,8.5,101.59,0,0,11
Andrew Harrison,MEM,Kentucky,USA,8.3,2.5,23,23.7,56,17,39,9.5,3.2,33.1,2.2,78.0,1.4,0.7,0.5,2.5,19.0,0,0,-3.6,78.0,213,44,5.9,94.1,88.0,16.0,16.0,0.4,43.1,10.0,41.8,48.1,0.7,4.0,9.7,0.4,1.7,26.9,73.1,0.21,2.3,2.7,1.5,55.8,0.2,37.1,0.2,37.5,0.4,37.9,7.7,60.8,1.2,36.4,1.4,40.3,1.3,36.2,2.8,41.7,3.3,36.4,108.5,-7.3,22.2,1.7,8.5,47.7,53.4,19.5,94.79,1,2,8
Andrew Wiggins,MIN,Kansas,Canada,7.6,7.8,23,36.3,82,47,35,17.7,6.9,33.1,2.5,64.3,1.7,1.1,0.6,2.0,29.4,1,0,2.5,80.0,202,1,13.6,86.4,88.3,23.4,29.9,0.6,46.7,7.0,22.1,31.5,0.4,2.5,11.1,0.5,1.7,41.6,58.4,0.0,4.3,4.7,3.0,65.6,0.9,44.0,0.7,34.8,0.8,33.5,14.1,63.9,2.2,38.8,2.0,39.7,2.3,39.9,4.8,38.0,4.6,36.9,108.9,3.5,8.0,2.8,9.4,48.1,50.5,22.8,97.56,3,4,0
Ante Zizic,CLE,None,Croatia,13.2,10.3,21,6.7,32,21,11,3.7,1.5,0.0,0.7,72.4,0.3,0.1,0.4,0.9,7.3,0,0,-1.2,83.0,250,23,32.7,67.3,93.1,27.6,50.0,0.2,54.5,4.7,5.8,4.1,0.1,0.2,3.8,2.3,0.1,0.0,100.0,0.0,2.2,0.4,1.5,80.4,0.4,62.5,0.0,25.0,0.0,100.0,3.3,65.4,1.0,53.3,0.6,58.3,0.5,34.4,1.0,43.1,1.1,39.1,114.9,-9.1,3.9,11.2,17.9,73.1,74.6,17.1,101.27,0,0,11
Anthony Davis,NOP,Kentucky,USA,18.8,19.7,25,36.4,75,45,30,28.1,10.4,34.0,6.6,82.8,2.2,1.5,2.6,2.1,55.1,50,1,3.9,82.0,253,1,27.5,72.5,84.4,44.1,41.3,0.8,62.0,5.2,44.7,44.7,0.3,2.7,6.0,8.4,2.4,46.8,53.2,0.15,9.8,4.5,6.1,72.6,1.2,43.0,1.1,44.1,1.0,35.0,13.5,60.3,2.7,38.9,2.7,40.9,2.9,39.1,3.9,35.8,5.1,34.0,104.3,5.0,10.4,7.0,21.3,55.2,61.2,29.1,102.71,1,1,12
Anthony Tolliver,DET,Creighton,USA,8.6,6.4,33,22.2,79,37,42,8.9,2.8,43.6,1.3,79.7,0.7,0.4,0.3,1.8,15.5,1,0,0.3,80.0,240,61,10.7,89.0,84.5,22.4,27.4,0.5,49.0,8.0,38.1,20.9,0.1,1.3,3.3,3.4,0.7,31.6,68.4,0.23,3.9,2.4,0.6,63.3,0.1,28.6,0.0,37.5,0.0,33.3,7.4,61.6,1.7,37.7,1.3,40.9,1.7,41.8,2.6,40.3,3.2,36.4,105.0,0.9,7.6,2.7,10.9,63.2,66.3,14.4,97.94,3,4,0
Antonio Blakeney,CHI,Louisiana State,USA,6.4,7.3,21,16.5,19,3,16,7.9,2.8,28.8,1.6,76.9,0.6,0.4,0.1,1.0,12.3,0,0,-0.3,76.0,197,61,0.0,100.0,100.0,0.0,12.1,0.2,50.8,7.1,9.0,16.1,0.0,1.1,11.7,0.2,0.6,20.0,80.0,0.0,1.8,2.2,0.8,51.6,0.1,20.0,0.2,33.3,0.6,41.7,6.1,61.8,1.1,58.8,0.7,39.4,0.8,30.0,3.3,44.4,1.9,28.7,109.4,-1.3,9.6,1.1,8.9,42.3,47.1,22.7,99.24,0,5,10
Aron Baynes,BOS,Washington State,Australia,8.7,8.3,31,18.3,81,54,27,6.0,2.6,14.3,0.7,75.6,1.0,0.3,0.6,2.5,15.8,4,0,2.3,82.0,260,61,21.0,79.0,84.4,27.8,45.5,0.8,53.3,4.6,21.0,18.1,0.1,1.4,6.5,5.6,0.3,43.2,56.8,0.21,7.1,1.5,1.3,52.7,0.3,41.9,0.4,43.2,0.5,50.0,5.9,59.5,1.3,38.7,1.2,39.1,1.5,38.6,1.7,35.3,2.0,30.4,97.7,6.5,9.5,8.6,19.6,47.4,50.2,16.6,96.78,3,8,2
Austin Rivers,LAC,Duke,USA,7.3,4.2,25,33.7,61,30,31,15.1,5.6,37.8,1.7,64.2,1.8,1.2,0.3,2.5,26.5,0,0,-1.0,76.0,200,10,1.3,98.7,86.0,3.5,18.6,0.6,42.0,9.4,51.0,60.4,0.6,4.7,9.3,0.3,2.0,31.3,68.7,0.05,3.0,1.9,2.6,53.1,0.4,31.3,0.3,34.0,0.1,37.5,13.0,63.8,2.2,40.4,2.4,43.9,2.5,39.2,4.2,41.0,4.4,36.1,111.6,-1.7,17.9,1.3,5.8,50.8,52.6,20.6,97.78,1,2,8
Avery Bradley,LAC,Texas,USA,6.0,4.7,27,31.2,46,22,24,14.3,5.6,36.9,1.4,76.8,2.2,1.1,0.2,2.0,22.0,0,0,-2.7,74.0,180,19,4.5,95.5,86.2,6.9,18.1,0.6,47.3,7.5,22.7,33.8,0.4,2.5,11.1,0.6,1.9,46.3,53.7,0.11,2.0,3.0,2.1,55.5,0.4,34.0,0.4,33.3,0.8,40.7,11.3,63.2,2.5,40.0,2.1,44.1,2.2,41.4,3.5,39.7,4.3,38.0,108.3,-4.2,10.5,1.4,6.8,47.4,49.6,22.9,97.72,1,5,10
Bam Adebayo,MIA,Kentucky,USA,11.1,13.3,20,19.8,69,34,35,6.9,2.5,0.0,1.9,72.1,1.0,0.5,0.6,2.0,18.0,7,0,-0.4,82.0,255,14,12.1,87.9,89.1,26.6,43.1,0.5,59.5,5.8,19.6,19.0,0.1,1.5,7.9,6.5,1.1,47.8,52.2,0.01,4.8,1.8,2.2,59.5,0.2,30.8,0.1,26.9,0.1,33.3,7.1,59.5,1.3,34.4,1.2,42.5,1.4,39.7,2.0,39.3,2.2,33.2,102.6,-0.6,11.5,8.6,19.4,51.2,57.0,15.7,96.29,3,8,2
Ben McLemore,MEM,Kansas,USA,5.6,5.0,25,19.5,56,7,49,7.5,2.8,34.6,0.9,82.8,1.1,0.7,0.3,2.5,13.6,0,0,-5.7,77.0,195,7,13.7,86.3,83.0,23.4,16.5,0.5,51.9,8.0,18.9,19.6,0.2,1.1,6.0,0.2,1.3,45.2,54.8,0.04,1.6,1.8,1.1,55.8,0.1,29.2,0.2,62.5,0.2,33.3,7.1,63.2,1.2,39.3,1.2,44.5,1.1,37.5,2.2,40.7,2.6,35.9,111.4,-13.5,7.8,3.0,10.1,49.5,52.6,18.2,97.99,3,4,1
Ben Simmons,PHI,Louisiana State,Australia,15.4,14.5,21,33.7,81,51,30,15.8,6.7,0.0,2.4,56.0,3.4,1.7,0.9,2.6,42.1,38,12,4.8,82.0,230,1,28.4,71.6,84.1,30.4,26.2,0.6,61.6,7.4,74.1,78.3,1.0,9.6,12.9,1.8,2.9,50.0,50.0,0.04,4.4,3.8,5.0,69.3,0.9,37.3,0.6,31.8,0.2,34.9,11.0,57.9,2.5,38.1,2.4,40.5,3.0,41.5,3.1,37.0,4.7,32.8,102.9,6.6,36.2,5.3,17.1,54.5,55.7,21.9,101.77,1,1,12
Bismack Biyombo,ORL,None,DRC,9.8,8.5,25,18.2,82,25,57,5.7,2.2,0.0,1.2,65.0,1.0,0.3,1.2,1.9,17.0,7,0,-5.2,81.0,255,7,30.7,69.3,79.9,38.4,43.2,0.5,52.5,4.6,23.9,13.8,0.0,0.8,3.4,6.0,0.5,55.6,44.4,0.01,6.0,1.1,1.7,62.7,0.3,34.8,0.1,28.9,0.1,31.3,7.4,60.7,1.2,34.9,1.4,49.8,1.4,39.7,2.2,42.1,2.2,34.8,111.4,-13.6,7.0,9.1,20.9,52.0,55.6,14.6,97.92,3,8,2
Blake Griffin,DET,Oklahoma,USA,14.4,15.3,29,34.0,58,28,30,21.4,7.5,34.5,4.5,78.5,2.8,0.7,0.3,2.4,39.1,16,3,1.0,82.0,251,1,13.0,87.0,90.3,26.7,30.4,0.9,54.9,5.4,60.7,58.8,0.4,6.1,10.1,6.9,1.4,39.3,60.7,0.21,5.8,3.9,4.0,62.6,0.7,33.1,0.1,18.2,0.5,35.2,12.5,61.8,1.8,35.5,2.3,43.2,2.7,40.8,3.9,36.1,4.5,34.8,107.0,1.9,28.6,3.6,17.5,49.3,54.4,28.5,98.54,1,2,8
Boban Marjanovic,LAC,None,Serbia,16.6,16.4,29,8.7,39,18,21,6.0,2.0,0.0,2.0,79.4,0.9,0.3,0.3,1.3,12.0,1,0,1.4,87.0,290,61,24.6,75.4,84.5,38.1,50.7,0.5,61.3,3.6,7.3,7.9,0.1,0.7,9.2,3.1,0.4,60.0,40.0,0.0,3.7,0.4,1.6,62.5,0.4,40.0,0.1,33.3,0.0,20.0,2.4,60.0,0.5,33.9,0.9,43.5,1.4,53.0,1.3,36.1,1.3,37.3,103.5,6.3,10.0,15.1,27.4,53.4,61.6,27.6,102.36,0,8,2
Bobby Portis,CHI,Arkansas,USA,13.3,10.6,23,22.5,73,25,48,13.2,5.2,35.9,1.6,76.9,1.4,0.7,0.3,1.8,25.5,12,0,-1.1,83.0,248,22,23.9,76.1,86.2,34.1,33.7,0.5,59.0,5.1,28.8,26.3,0.1,1.8,6.4,4.5,1.3,46.9,53.1,0.01,3.4,1.9,2.3,54.2,0.6,51.2,0.4,49.2,0.6,49.4,8.7,64.8,1.1,40.7,1.2,43.0,1.2,38.8,3.3,39.3,3.4,36.4,109.5,-2.1,12.6,8.9,20.7,52.0,54.8,25.0,100.32,3,8,1
Bogdan Bogdanovic,SAC,None,Serbia,8.7,9.9,25,27.9,78,26,52,11.8,4.4,39.2,1.3,84.0,1.6,0.9,0.2,2.2,21.9,0,0,-4.6,78.0,205,27,8.8,91.2,86.1,14.9,25.1,0.6,49.7,7.6,35.2,38.1,0.5,4.0,11.2,0.7,2.1,49.2,50.8,0.0,3.2,2.7,1.1,56.6,0.3,36.2,0.5,48.2,0.5,40.0,10.0,63.4,2.0,45.5,1.4,41.9,1.7,42.1,3.7,39.9,3.9,38.3,111.2,-8.6,18.3,1.4,9.4,52.9,55.6,19.2,96.77,1,2,1
Bojan Bogdanovic,IND,None,Croatia,9.1,11.1,29,30.8,80,47,33,14.3,5.1,40.2,2.2,86.8,1.3,0.7,0.1,1.6,21.6,0,0,1.1,80.0,230,31,8.8,91.2,83.6,10.4,15.9,0.4,54.3,8.0,22.2,26.9,0.2,1.7,7.8,0.3,1.1,32.2,67.8,0.03,3.7,3.3,2.0,60.5,0.4,45.7,0.4,44.8,0.4,45.3,12.1,63.3,2.1,42.4,1.9,40.3,2.0,37.1,3.0,39.2,4.2,32.7,104.9,1.5,7.1,1.2,9.7,56.5,60.5,18.5,98.36,3,4,0
Bradley Beal,WAS,Florida,USA,12.5,12.8,25,36.3,82,43,39,22.6,8.3,37.5,3.6,79.1,2.6,1.2,0.4,2.0,37.0,4,0,2.2,77.0,207,3,6.1,93.9,92.5,24.5,23.1,0.5,50.5,8.8,45.2,56.4,1.1,5.9,13.0,0.9,2.0,44.2,55.8,0.05,3.8,4.1,2.9,63.9,0.4,36.0,0.9,43.0,1.3,44.0,14.0,62.9,2.2,38.5,2.0,37.5,2.7,39.7,3.2,36.4,4.8,33.8,106.3,2.4,20.6,2.1,10.1,52.7,56.4,26.8,97.82,1,2,8
Brandon Ingram,LAL,Duke,USA,9.6,9.2,20,33.5,59,27,32,16.1,6.1,39.0,3.3,68.1,2.5,0.8,0.7,2.8,30.3,6,0,-2.2,81.0,190,2,8.1,91.9,86.4,18.2,28.7,0.6,53.6,6.8,36.5,42.7,0.6,4.6,12.5,0.5,1.8,42.1,57.9,0.02,4.5,4.2,3.5,59.8,0.2,18.3,0.4,31.6,1.0,42.2,13.8,60.2,2.1,37.4,1.8,37.9,2.7,41.1,3.1,34.5,4.9,36.6,107.5,-2.7,17.7,2.7,12.1,49.7,53.6,21.8,101.47,1,2,8
Brook Lopez,LAL,Stanford,USA,9.2,8.8,30,23.4,74,34,40,13.0,5.0,34.5,1.5,70.3,1.3,0.4,1.3,2.6,24.2,4,0,-1.1,84.0,268,10,6.6,93.4,86.8,23.0,49.7,0.5,54.7,6.4,23.8,25.8,0.2,1.9,7.8,4.8,1.0,47.2,52.8,0.0,10.1,2.5,1.8,70.8,0.9,46.6,0.5,40.7,0.2,41.2,9.3,60.1,2.1,43.5,1.4,40.3,1.8,38.5,2.4,38.1,3.5,38.3,108.6,-2.3,11.3,4.1,12.0,53.6,55.7,23.0,102.03,3,4,1
Bruno Caboclo,SAC,None,Brazil,5.2,7.8,22,8.9,12,4,8,2.2,0.8,17.6,0.4,83.3,0.3,0.3,0.3,0.7,6.3,0,0,0.9,81.0,205,20,4.0,96.0,90.0,0.0,50.0,0.3,51.2,5.6,10.3,6.0,0.0,0.4,4.1,1.3,0.4,50.0,50.0,0.0,1.8,0.6,0.3,60.0,0.0,0.0,0.3,60.0,0.0,0.0,2.8,64.2,0.8,34.8,0.2,16.7,0.6,31.3,1.5,35.6,0.7,36.8,97.1,2.4,5.6,6.2,14.6,33.9,38.6,15.2,95.28,0,6,6
Bryn Forbes,SAS,Michigan State,USA,5.5,7.7,24,19.0,80,46,34,6.9,2.6,39.0,0.6,66.7,0.5,0.4,0.0,1.4,10.8,0,0,1.5,75.0,190,61,1.2,98.8,82.1,10.7,14.5,0.3,50.2,10.5,13.9,18.6,0.3,1.3,9.4,0.3,0.5,32.6,67.4,0.0,1.8,1.6,0.3,53.1,0.4,48.5,0.2,37.8,0.5,43.9,6.7,60.7,1.7,44.0,1.5,42.4,1.5,39.3,2.0,38.6,2.2,35.1,102.8,3.5,7.7,0.8,6.5,51.0,52.5,15.9,97.94,3,4,0
Buddy Hield,SAC,Oklahoma,Bahamas,10.9,11.0,25,25.3,80,27,53,13.5,5.2,43.1,0.9,87.7,1.6,1.1,0.3,1.9,23.5,0,0,-1.9,76.0,214,6,13.0,87.0,92.2,39.2,14.0,0.5,53.9,7.8,23.6,29.5,0.2,2.3,9.6,0.2,1.9,47.9,52.1,0.0,3.8,2.8,1.4,56.7,0.3,37.0,0.3,32.4,0.9,44.7,8.6,63.1,1.7,40.2,1.4,46.9,1.4,39.7,3.2,38.1,3.4,35.0,107.2,-4.1,12.7,2.7,12.9,54.0,55.7,23.6,96.26,3,4,1
C.J. Williams,LAC,North Carolina State,USA,5.3,4.9,28,18.6,38,17,21,5.5,2.3,28.2,0.3,81.3,0.5,0.8,0.3,1.7,11.9,0,0,-0.9,77.0,230,61,1.7,98.3,81.6,5.3,23.2,0.3,48.7,9.7,14.3,15.3,0.1,1.3,9.0,0.3,1.4,44.4,55.6,0.0,2.5,2.3,1.1,73.1,0.2,33.3,0.3,50.0,0.2,38.9,7.0,61.6,1.0,34.3,1.3,39.2,2.0,39.8,2.6,42.6,2.5,33.3,106.7,-1.2,8.6,1.7,5.8,49.7,51.2,13.4,100.35,0,5,10
CJ McCollum,POR,Lehigh,USA,10.9,10.3,26,36.1,81,48,33,21.4,8.2,39.7,2.6,83.6,1.9,1.0,0.4,2.1,33.5,1,0,1.5,75.0,190,10,4.3,95.7,84.1,15.9,18.7,0.5,49.1,10.2,35.0,51.0,0.5,4.0,11.3,0.7,1.5,38.1,61.9,0.01,4.3,3.0,2.1,51.7,0.9,41.0,1.2,49.5,1.3,42.7,12.3,54.6,2.6,45.0,2.6,40.1,3.4,43.4,4.4,40.1,4.0,37.5,105.8,1.6,15.6,1.7,8.9,50.6,53.6,25.9,98.2,1,2,8
CJ Miles,TOR,None,USA,7.7,5.6,31,19.1,70,50,20,10.0,3.2,36.1,1.2,83.5,0.6,0.5,0.3,1.9,15.7,0,0,3.9,78.0,225,34,2.1,97.9,89.8,10.2,20.4,0.2,55.5,9.9,12.7,16.0,0.1,0.9,7.2,0.5,1.1,40.5,59.5,0.09,1.6,1.7,0.6,61.8,0.1,21.4,0.1,40.0,0.1,36.8,7.1,56.7,1.4,33.8,1.3,43.3,1.3,42.1,1.5,35.1,2.1,36.2,101.8,8.0,6.1,1.3,9.7,51.6,54.5,21.4,99.99,3,4,13
Caleb Swanigan,POR,Purdue,USA,5.4,5.3,21,7.0,27,16,11,2.3,0.9,12.5,0.4,66.7,0.7,0.2,0.1,1.4,5.7,0,0,-0.4,80.0,250,26,25.0,75.0,80.0,16.7,42.6,0.3,51.4,4.1,5.9,5.7,0.0,0.5,8.8,1.4,0.1,37.5,62.5,0.0,1.3,0.8,0.8,51.4,0.1,28.6,0.0,50.0,0.0,0.0,2.4,57.7,0.6,39.3,0.6,52.0,0.7,48.6,1.0,37.3,0.6,27.6,99.0,-3.1,12.4,7.5,20.7,40.8,44.9,18.9,98.99,0,6,7
Cameron Payne,CHI,Murray State,USA,8.8,7.4,23,23.3,25,7,18,8.8,3.5,38.5,0.5,75.0,1.4,1.0,0.4,1.8,21.7,1,0,-3.6,75.0,185,14,6.7,93.3,85.0,0.0,17.4,0.4,47.9,9.9,46.0,49.0,0.2,4.8,10.4,0.2,2.1,32.3,67.7,0.0,2.0,3.1,1.2,55.4,0.4,31.0,0.0,6.7,0.2,46.2,8.4,64.9,1.6,53.2,0.9,33.8,1.6,52.6,3.8,40.7,3.4,33.2,110.7,-7.5,29.4,2.7,8.9,48.6,49.8,18.3,100.37,0,5,10
Caris LeVert,BKN,Michigan,USA,9.9,10.3,23,26.2,71,25,46,12.1,4.5,34.7,1.9,71.1,2.2,1.2,0.3,2.2,25.0,3,0,-3.7,79.0,203,20,4.1,95.9,83.9,21.4,25.9,0.6,50.0,7.0,35.5,43.0,0.4,4.8,13.4,0.6,2.3,42.7,57.3,0.08,3.4,2.8,2.3,57.3,0.4,36.3,0.3,37.5,0.2,28.9,9.3,58.7,2.2,42.8,2.1,42.5,2.7,42.4,3.2,39.9,3.2,36.9,108.2,-6.4,26.5,2.6,10.4,49.3,52.5,21.6,102.25,1,2,1
Carmelo Anthony,OKC,Syracuse,USA,8.6,7.4,34,32.1,78,46,32,16.2,6.1,35.7,1.9,76.7,1.3,0.6,0.6,2.5,27.5,6,0,3.5,80.0,240,3,11.3,88.7,88.9,23.6,25.9,0.6,55.7,6.0,36.0,28.8,0.1,1.4,3.9,1.9,1.4,52.7,47.3,0.0,3.8,3.4,1.1,54.1,0.2,33.9,1.0,45.0,1.2,42.0,12.1,63.8,2.2,40.0,1.8,40.6,1.7,36.9,4.8,38.9,3.5,36.1,106.4,5.2,6.1,2.5,15.8,47.6,50.3,22.3,99.12,3,4,0
Cedi Osman,CLE,None,Turkey,6.7,7.5,23,11.0,61,35,26,3.9,1.5,36.8,0.4,56.5,0.5,0.4,0.0,1.3,8.0,0,0,0.6,80.0,215,31,7.3,92.7,91.3,26.1,18.3,0.3,61.9,6.7,10.5,8.5,0.1,0.8,7.8,0.3,0.8,29.2,70.8,0.02,1.6,1.1,0.7,66.1,0.1,77.8,0.1,57.1,0.2,47.4,4.4,61.4,1.0,47.2,1.0,47.7,0.8,37.4,1.3,37.5,2.0,40.2,107.9,3.9,8.4,2.8,14.9,57.0,57.7,15.1,100.14,3,4,0
Chandler Parsons,MEM,Florida,USA,9.2,6.9,29,19.2,36,12,24,7.9,3.0,42.1,0.5,63.0,1.0,0.5,0.3,1.5,15.2,0,0,-2.4,82.0,230,38,4.1,95.9,92.3,20.5,16.7,0.3,54.5,7.3,21.6,22.5,0.3,2.2,10.3,0.6,0.9,38.5,61.5,0.08,1.7,1.6,0.8,62.8,0.1,41.7,0.3,50.0,0.2,30.8,7.0,63.7,1.3,45.3,1.1,36.6,0.8,30.2,2.3,48.0,2.8,36.9,111.7,-6.0,15.8,2.1,11.7,57.1,57.8,18.0,97.61,0,5,10
Channing Frye,LAL,Arizona,USA,9.2,5.3,35,13.1,53,28,25,5.0,2.0,33.9,0.3,89.5,0.4,0.3,0.2,1.3,10.5,0,0,2.2,83.0,255,8,4.3,95.7,94.4,29.6,34.1,0.5,59.7,5.2,17.1,12.2,0.1,1.0,6.0,3.2,0.5,28.6,71.4,0.04,4.3,1.4,0.7,77.8,0.1,85.7,0.1,55.6,0.2,60.0,4.9,60.7,0.9,37.2,0.9,43.0,0.9,34.1,1.5,39.3,1.9,34.4,103.7,8.2,7.7,1.9,16.4,58.3,59.9,15.1,100.41,3,4,0
Cheick Diallo,NOP,Kansas,Mali,11.8,12.1,21,11.2,52,29,23,4.9,2.0,0.0,1.0,75.8,0.5,0.2,0.4,1.6,11.6,3,0,-2.0,81.0,220,33,30.0,70.0,79.8,37.2,36.0,0.3,55.7,4.7,12.6,6.7,0.0,0.3,2.7,3.1,0.4,38.9,61.1,0.0,3.3,0.9,1.4,69.3,0.3,48.0,0.3,48.1,0.1,33.3,4.6,61.4,1.3,52.9,0.7,33.3,1.0,43.8,1.0,32.3,1.9,39.3,110.0,-7.4,4.8,7.9,26.2,58.0,61.9,16.8,103.07,3,8,2
Chris Paul,HOU,Wake Forest,USA,16.6,13.8,33,31.8,58,50,8,18.6,6.3,38.0,3.5,91.9,2.2,1.7,0.2,2.4,40.4,14,1,8.6,72.0,175,4,1.4,98.6,94.4,13.0,16.9,0.8,54.8,7.8,50.4,59.4,0.6,8.9,17.6,1.1,3.0,43.3,56.7,0.03,2.3,2.0,1.0,61.7,0.5,44.4,1.2,47.9,1.1,58.0,12.2,61.7,2.6,41.7,1.8,39.7,1.7,38.3,3.6,39.3,4.1,35.1,103.3,13.2,38.9,2.0,15.1,55.0,60.4,24.1,98.6,1,2,8
Clint Capela,HOU,None,Switzerland,15.5,15.6,24,27.5,74,62,12,13.9,6.0,0.0,1.9,56.0,1.4,0.8,1.9,2.5,34.8,42,0,5.1,82.0,240,25,20.3,79.7,92.6,51.4,40.5,0.8,62.4,5.0,38.4,23.1,0.2,1.1,3.0,6.9,1.0,55.8,44.2,0.11,10.4,2.6,5.6,68.7,0.3,33.9,0.1,55.6,0.0,33.3,11.6,63.4,2.3,43.1,1.8,39.5,1.4,36.2,3.0,37.7,3.3,35.3,104.9,9.3,5.5,11.9,27.8,65.2,65.0,19.0,98.05,3,1,12
Cody Zeller,CHA,Indiana,USA,9.6,10.1,25,19.0,33,14,19,7.1,2.6,66.7,1.8,71.8,1.0,0.4,0.6,2.5,17.1,1,0,0.7,84.0,240,4,20.2,79.8,88.6,34.8,51.4,0.4,49.0,5.0,13.3,12.8,0.1,1.1,8.4,9.0,0.7,40.0,60.0,0.06,4.5,0.8,2.0,57.9,0.2,46.7,0.0,50.0,0.1,44.4,6.9,66.8,1.2,36.0,1.2,44.8,1.0,37.8,2.2,39.9,2.5,32.9,104.7,2.1,7.5,9.7,18.4,55.1,60.2,15.2,99.8,0,5,10
