Player,PIE_2018,PIE_2017,AGE,MIN_2017,GP,W,L,PTS,FGM,3P%,FTM,FT%,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Height,Weight,Draft_Number,%_Box_Outs_Off,%_Box_Outs_Def,%_Team_RebWhen_Box_Out,%_Player_RebWhen_Box_Out,ContestedREB%,DeferredREB_Chances,AdjustedREB_Chance%,AVG_REBDistance,PassesMade,PassesReceived,SecondaryAST,ASTAdj,AST_ToPass%_Adj,ScreenAssists_PTS,Deflections,%_Loose_BallsRecovered_OFF,%_Loose_BallsRecovered_DEF,ChargesDrawn,Contested2PT_Shots,Contested3PT_Shots,FGM_und_5ft,FG%_und_5ft,FGM_5_9ft,FG%_5_9ft,FGM_10_14ft,FG%_10_14ft,FGM_15_19ft,FG%_15_19ft,OPP_FGM_und_5ft,OPP_FG%_und_5ft,OPP_FGM_5_9ft,OPP_FG%_5_9ft,OPP_FGM_10_14ft,OPP_FG%_10_14ft,OPP_FGM_15_19ft,OPP_FG%_15_19ft,OPP_FGM_20_24ft,OPP_FG%_20_24ft,OPP_FGM_25_29ft,OPP_FG%_25_29ft,DEFRTG,NETRTG,AST%,OREB%,DREB%,eFG%,TS%,USG%,PACE,cluster_five_1,cluster_five_2,cluster_five_3,cluster_five_4
Alex Poythress,6.9,-2.3034086604988677,-0.5055289142559175,-2.04395708289209,-1.4434748498179775,-1.232785072062365,-0.9374386267913055,-2.244870950294189,-2.159966166087875,0.4065352091879219,-2.198041336245259,-3.071715011539193,-2.1065993819332696,-1.8479180129441017,-1.8202137552774666,-1.7902961132048654,-2.351771883344894,-0.9618303875127505,-0.28513296913637265,-0.21205546644968137,0.5346704807596553,0.6738707320143906,1.3819925185649928,1.8601566075068607,-2.0228775902085223,0.23880102031676734,2.2759056910190663,1.4469255361033109,-2.434069700992158,-0.7605573311976334,0.05719600399488534,-2.145101253270084,-2.3941840051152345,-1.6838446962662716,-2.1830330412941334,-1.553787659895044,-0.7514617630816199,-1.776567526504479,-0.4933340683630587,0.6398164385853897,-1.0165759946441397,-1.9542769195519487,-1.96022500655283,-1.6239361816741298,-0.25401651371569633,-1.6465450309718697,-2.3913946624773117,-1.434773187967878,-2.182371202643293,-1.3044602467098259,-2.039080225025635,-1.9463498481146375,1.7586037132835832,-1.718616096991231,1.3674061601714704,-1.583443792029378,4.320638277293528,-2.071539028570456,-1.6027684653400527,-2.0597985417668228,-0.8006264675940347,-2.075671709877397,-1.376550252952299,1.5664475805035094,-0.9864862410596108,-1.9023816657119188,0.8329045158838275,-0.5400894407038057,-0.20560832942189095,-0.6833510961989495,-1.6663774701104768,-0.5551619298290396,-0.6130759079963239,-0.05012547071170855,-0.9534625892455922,-0.1430397079704303
Alfonzo McKinnie,6.5,-1.3060957481660005,-0.22072514996364523,-2.0849640391337254,-1.7482865221796482,-1.010907818708344,-2.0760145871436135,-1.9792004050063943,-1.9218108467852832,0.20278045945586215,-1.8856968937766527,-0.714959990008474,-1.7989366854217743,-1.8479180129441017,-1.1124734602096649,-1.7902961132048654,-2.351771883344894,-0.9618303875127505,-0.28513296913637265,-0.2836830596955922,0.21513379370308455,-0.13723605347162998,1.3819925185649928,0.5369362353299858,-0.29547439161600786,2.0380958058399283,-2.090760465258489,2.16906108618783,-1.2492982481864423,2.6753584131958066,-1.8105711161233362,-2.2690167618925527,-2.2441840748741484,-0.7540402977956855,-2.1830330412941334,-1.1085599491946931,-1.6379848610227203,-2.0257159855981324,-2.6562058080456765,-2.7397827234463445,-1.0165759946441397,-2.077523294049794,-2.100867988773375,-2.1044196844033842,4.4435052900276775,-0.1702611367942065,1.9142550296585206,-1.434773187967878,-2.182371202643293,-0.08318176241884896,3.2745860678726175,-2.0695583884386735,-0.8021640641688726,-1.5551090946945734,-1.3571894701859948,-1.9157623667394221,7.896294422800199,-1.7149029613130153,1.6178270837662372,-1.8266621925892663,-0.236857472414359,-1.9907007939232029,-0.06451122358381245,1.2577178075638205,-0.9232458084597427,-1.8663885157816695,-0.4595933494200397,-0.6180120682434154,1.410701420227298,1.2096830476637377,-0.4304739522183744,0.7389842659953962,-0.6130759079963239,-0.05012547071170855,-0.9534625892455922,-0.1430397079704303
Allen Crabbe,5.5,-0.17894602024963768,0.04463803117440169,0.8681524713487415,0.7954259113465845,-0.19353866798639954,1.4953733613833164,0.7255035561532829,0.5736045998462675,0.4983680108975796,0.304498648619693,0.8968732300862928,-0.13744271968581084,-0.13348266065567826,0.5373315018155131,0.5573758226665902,0.43252094024110543,-0.9618303875127505,-0.28513296913637265,-0.2836830596955922,-0.39246990144293603,-0.13723605347162998,0.4047644601757781,-1.6607800673038553,1.247070776251951,1.440057915198027,0.6504429219314831,-0.7084568563341813,-0.24545411624869481,0.3055409834218723,0.10003683872679273,0.3089704029814695,0.43812765783593866,0.8593692932673452,0.07926707034082027,-0.3589880126711727,-0.45430922607224833,0.39235576288962837,-0.4611456877189403,0.6041899325212837,-0.6142879132721817,0.14901596413151275,-0.024798959610004882,-0.595717783303444,0.9463566661943255,0.3119441529403462,0.28350390772058776,0.00032481937134010765,-0.22866144680169964,0.3212961343074866,0.40511242160997285,0.763702284764812,-0.3946335838842465,1.9144695295497827,0.14260897959890095,2.1567704680859,0.18523938021536046,2.103983021787237,1.1130081957123823,0.5106639464910394,-0.02650960790342666,-0.07946259033784134,0.07500538757826804,0.3965576924344151,-0.033909428753697304,-0.5500849682832806,-1.0804880766997895,-0.03127040494630922,0.18410172326688345,0.1469671886193628,0.09676361540147362,0.345475144352848,-0.6130759079963239,-0.05012547071170855,1.0488088481701516,-0.1430397079704303
Amir Johnson,8.0,-0.06243946007731394,1.140659432921974,-0.7582233939577545,0.7396132051386305,1.1468996994641003,-0.06719274650486144,-0.8767206773192892,-0.7888839528059028,0.0710060014454187,-0.6216220307429325,-1.1086556738371793,-0.6403019895502372,-0.13348266065567826,0.7844010470222328,1.1866543002035121,-0.32376949935588883,0.026215556320418467,-0.28513296913637265,0.10276102709032774,0.5346704807596553,0.8674774195076999,1.244498124512186,0.9855772725701419,-0.8610259621696896,0.0837332988980203,0.5362946313227162,1.745099972744996,1.3953329011736915,-0.14959889403873866,-0.6955535577018248,-0.2732717949535994,-0.4453531932901396,-0.7540402977956855,-0.12734945505657072,-0.06688325258921125,1.4291468034257813,-0.2799681700891112,1.2203332916218024,-1.0910866926740335,1.0233798776413565,0.6655836381504648,-1.4276959488463017,-0.1095677144685481,0.3349271691322974,0.6883314915826937,0.6925608552380623,-1.434773187967878,-0.9774016444893693,-1.3044602467098259,0.8043142230389714,-0.8142582140910007,-0.12742609124200127,-0.5700570113512221,-0.2649610023747844,-0.5768477546182522,-0.08089746741288881,-0.5951739247843227,-0.1376976749830518,-0.9546342419355831,-0.28532831022339933,-0.6945578862530299,-0.22156095107832546,-0.8101343182542586,0.210258334543134,0.2267067654951447,1.555315850111167,0.5953205878161045,0.5510777587968115,0.3728516080408661,-1.2722113639490098,1.090925522675702,-0.6130759079963239,-0.05012547071170855,1.0488088481701516,-0.1430397079704303
Andre Drummond,15.9,1.4708059136269014,-0.5055289142559175,1.417144588247292,0.9652191864506258,0.5556048095430132,0.8959660826501977,0.9610990167649475,1.1290317282529252,-2.055496424959942,1.274706149890926,-1.1560035357805116,1.5002797484004384,1.6241357213705485,1.9825442015825736,2.1556841857166127,2.0232172195735942,1.813461743284219,-0.28513296913637265,-0.17643387270990574,1.2063423351745572,2.27044617225262,-0.8395552636051792,2.06724815485913,-2.2790199414703283,-0.2540026654603978,2.3504064195227934,1.3663895254472227,2.084766318170375,1.1657692588583408,-1.4069913628222697,0.6266830218147547,0.6006115252395767,-0.7540402977956855,0.6966893587842083,0.326675911366146,1.782989404927205,2.0005116537013357,0.5796043485674747,-0.48606897040755387,-0.6142879132721817,1.9980282582571063,-0.024798959610004882,2.1429281930441717,0.007136210949272177,0.9873920017226281,-0.4226725422888198,0.00032481937134010765,-0.423658268001582,-1.3044602467098259,-2.039080225025635,1.3076945010962542,0.6697494209356784,1.4155744327876763,-0.40385805765329946,1.296341645429301,0.03967984050608767,1.156799726742223,0.3610675862028762,1.232713223438324,0.07073963493811537,1.6123236574670878,0.1970196500991428,0.2681098657002388,0.035407532173586005,0.2618608172108466,2.0629403508754893,2.611837481043501,0.18410172326688345,0.1063385770642473,0.5381957341897669,-0.5385347838441426,-0.6130759079963239,-0.05012547071170855,1.0488088481701516,-0.1430397079704303
Andre Iguodala,9.0,-0.2691604931206661,1.658914941298082,0.38847559817471045,0.20372339634123143,1.0888543740632353,-0.7145512154911061,-0.5276949319951582,-0.5263045960975441,-0.13378405559574783,-0.3373944910035321,-0.9699532234657985,-0.13744271968581084,0.35862865163542823,0.7844010470222328,-0.5068865348723963,0.04679180075271955,-0.9618303875127505,-0.28513296913637265,1.4467158240315114,-0.39246990144293603,-0.13723605347162998,-0.8395552636051792,-0.015395500988645481,0.29988753367960047,0.1256282097277569,-0.29999102962585245,-0.3376977822871154,0.6256989694032029,0.01176266942850826,0.4793847818014354,0.6920745291300514,0.47979744711509076,1.178352186466482,0.9927435079876544,0.7844172461612371,0.4728636552668042,0.2685018170260715,-0.010958109193998523,0.11748807970232936,-0.2675543425924544,-0.2683424814210714,0.29445590717727,-0.1095677144685481,1.4575668020690478,-0.8009971844301086,-0.8154289993476699,-0.6041711065181722,0.1413845220714503,-0.08318176241884896,0.019672941944641403,0.27930804261831665,-0.2426930798653032,0.7517947707772392,-0.13814747265796024,0.7825415637999278,-0.1409358842946068,0.11786520254428838,-0.9150558723496736,-0.34735505650937476,-0.9129120900710319,0.36288062768707263,-0.3787122097121584,-0.7655995659445736,0.5988602612278565,0.5755617353611806,0.024017805473480754,-0.40715562241253345,-0.01446694417699625,-0.15658030557046157,-1.6663774701104768,0.3925853913100549,-0.6130759079963239,-0.05012547071170855,1.0488088481701516,-0.1430397079704303
Andrew Bogut,9.2,-0.2691604931206661,1.4955067867502856,-1.5305750761183847,-1.4747094390471605,-1.4660574304106526,-0.7883761962942031,-1.9792004050063943,-1.8117846224970935,-2.055496424959942,-1.8856968937766527,2.5139057451352733,-0.46080952182304497,-1.4285716735698295,0.5373315018155131,-0.20801456164654664,-1.2924866685224237,-0.9618303875127505,-0.28513296913637265,-0.35578339868199393,1.5589350198548002,1.6092623025284276,-1.892730919786016,0.9168237932285549,-0.7709138159901912,0.23880102031676734,1.4167975571604887,1.3810500276054667,-0.728296737036386,1.3026921286652506,-0.8338184216190099,-0.97270062953209,-1.4515619979434211,-1.6838446962662716,-1.1167238195297524,-0.9456753418031321,0.9168271278886156,-1.5459050968117738,2.179532648719012,-1.8826655930076897,1.0233798776413565,-0.38514203474056746,-1.82285356354679,-1.0507520805569948,1.8133987269211362,-0.8009971844301086,0.9015834342654454,-1.434773187967878,-2.182371202643293,-1.3044602467098259,3.2745860678726175,-1.4860118800335593,-0.16597333451023724,-1.881900390522948,-0.9281472604055738,-0.9138098143569718,1.1911198482641334,-1.0544143623165672,1.6178270837662372,-1.8266621925892663,-2.3564611878613717,-1.303795559502383,-0.4660633303515349,-0.9281626554146242,-0.29429299107064705,-0.2774163020882636,1.5831238888415446,1.354317632554012,1.894167618405651,1.7983644624966042,-2.652360925172841,0.5145177951992944,-0.6130759079963239,-0.05012547071170855,-0.9534625892455922,-0.1430397079704303
Andrew Harrison,2.5,-0.20873858648990123,-0.8120640222405977,0.18164401744388575,-0.19458375228525462,-0.7279938680575705,0.7608991197187455,0.16183033811368389,-0.01960711999271534,0.18961467335720414,0.8163300232210797,0.21623543992599423,0.3999071815401659,0.12246410891728206,0.5373315018155131,1.0280129705105219,0.06618319332192339,-0.9618303875127505,-0.28513296913637265,-1.2476457146574642,-0.39246990144293603,-0.221820341183857,0.8794834963154693,-0.30754909335879593,0.5586637773696882,0.11163033717460924,-0.4858112919642447,-0.9560185628367845,-0.24545411624869481,-1.1793309027874088,1.208537143471484,1.0212908478199074,1.1924328532463488,1.6420580763079562,0.9927435079876544,0.4362223945052996,-0.7514617630816199,0.6269094024968798,-0.9057785735830775,1.1055936215829922,1.8613817899744967,-0.5080136693303395,0.7056487259041885,0.09629700545645568,-0.5006303211474586,-0.1702611367942065,0.10223425380219398,0.00032481937134010765,0.003767829047609511,0.6395074918710263,0.17369427718411704,-0.1452939688629526,-0.10810562730132095,-0.5700570113512221,-0.3912573162355282,-0.06909214220321779,-0.176877979270276,-0.44775916145600403,-0.6692255700530813,0.3246300418399065,0.5584962345597937,0.36288062768707263,0.12730431590019425,0.3482638590289004,-0.481554605572878,1.0564446482922045,-0.7400691569115726,-0.8822904835454665,-0.5327081039079196,-0.1848363166609349,0.32440115975942,-1.3698920830889618,1.6311193882471007,-0.05012547071170855,-0.9534625892455922,-0.1430397079704303
Andrew Wiggins,7.8,-0.42537207276047967,-0.8120640222405977,1.7450677138560953,1.197019236949958,1.1468996994641003,0.4884456563207999,1.2803669139371965,1.4167996682608879,0.18961467335720414,0.988155995562169,-0.8914986133066424,0.7326298406332767,0.9714419936635191,0.7844010470222328,0.2482436940883492,0.9511464432291292,0.026215556320418467,-0.28513296913637265,0.8856912708794449,0.21513379370308455,-0.6994263147903619,-1.892730919786016,0.48123283309525555,-0.22972465614942164,0.15372286421492,0.09506386213028058,0.1562458376070356,0.6256989694032029,-0.8122263295870177,-0.028926055752066995,-0.22778071883174994,0.44861408703362216,0.8593692932673452,0.3699414595537761,0.8107383797067393,-0.5944135835088508,0.6269094024968798,0.04044220615693762,0.06333581984897507,-1.0165759946441397,0.505103912349817,2.577297357582309,1.1888342084875807,0.4909461676500892,1.725947528384215,0.5319628965245901,1.451597281496631,-0.14546463468037538,1.4131867775427696,-0.060500724037799374,1.7905042299606164,0.5063174046660038,1.083472573692903,-0.08727974233786727,0.9535888101492273,-0.24857844188921538,0.9068641057203749,-0.10630555667103775,2.0937736097621533,-0.0427077430270361,1.522606409764152,0.21444554615882677,0.41268922301998895,0.3367336320441477,-0.5847560823340218,-0.17767270814314032,-0.6974617619829215,-0.4745978912591179,-0.6077988222472342,0.8835234495531823,-0.6022721767862466,-0.6130759079963239,-0.05012547071170855,1.0488088481701516,-0.1430397079704303
Ante Zizic,10.3,1.0047086344583673,-1.5014792200370672,-1.7808700138401268,-1.2072490280721702,-0.4563401848283968,-1.2422209226263878,-1.1366571613298306,-1.0830667892482584,-2.055496424959942,-0.6216220307429325,-0.26598200602645855,-1.5225092431411684,-1.8479180129441017,0.24150302239882135,-1.3748381514722432,-1.3560568929484058,-0.9618303875127505,-0.28513296913637265,-0.35578339868199393,1.2063423351745572,1.2446561050337905,0.04703124156843538,1.6103380879087943,-1.6990621877936443,0.8683858928256276,0.4062157589726158,1.6581468990004826,-1.2492982481864423,0.01176266942850826,-1.0684983932399057,-1.8355334511074521,-2.0067926317880196,-0.7540402977956855,-1.9585255107456534,-1.3439931115025192,0.7465040153643273,-2.0257159855981324,-2.6562058080456765,3.2455271815156226,-1.0165759946441397,-0.5719446750232965,-1.96022500655283,0.09629700545645568,2.10702809541033,0.6883314915826937,1.6615500645072403,-1.434773187967878,-0.6932973517861086,-1.3044602467098259,3.2745860678726175,-1.4860118800335593,0.8143917181000222,-0.8991048498079578,1.8062385734248843,-1.4166217890690427,2.077515605461957,-1.7149029613130153,-0.9292617203949491,-1.489527766450652,0.7869458163057322,-1.5627256053575143,0.5975250367234959,1.4113972101610472,-0.6383176839215844,-1.4857541795047813,1.6895135324592496,0.744114333019607,2.3788420382055118,2.3110238183254124,-0.1465623724685826,0.42583968327984495,-0.6130759079963239,-0.05012547071170855,-0.9534625892455922,-0.1430397079704303
